sensor_id,machine_id,timestamp,temperature,pressure,vibration,status
S-1199,M-100,2026-01-03 01:45:00,51.49,2.69,1.83,Idle
S-1200,M-100,2026-01-03 02:00:00,63.71,1.29,4.65,Warning
S-1201,M-500,2026-01-03 02:15:00,90.07,8.79,1.23,Warning
S-1202,M-500,2026-01-03 02:30:00,65.53,3.92,1.86,Warning
S-1203,M-400,2026-01-03 02:45:00,91.73,2.3,4.34,Maintenance
S-1204,M-500,2026-01-03 03:00:00,76.38,4.55,0.3,Warning
S-1205,M-500,2026-01-03 03:15:00,78.61,9.97,3.66,Maintenance
S-1206,M-100,2026-01-03 03:30:00,66.04,9.47,2.68,Idle
S-1207,M-100,2026-01-03 03:45:00,60.16,5.27,0.15,Maintenance
S-1208,M-400,2026-01-03 04:00:00,54.77,9.46,0.52,Maintenance
S-1209,M-500,2026-01-03 04:15:00,42.42,4.96,2.52,Warning
S-1210,M-200,2026-01-03 04:30:00,70.39,7.53,1.28,Running
S-1211,M-300,2026-01-03 04:45:00,31.93,3.96,2.55,Running
S-1212,M-300,2026-01-03 05:00:00,84.58,8.87,1.47,Maintenance
S-1213,M-200,2026-01-03 05:15:00,87.12,9.91,3.69,Warning
S-1214,M-100,2026-01-03 05:30:00,78.52,6.24,0.19,Warning
S-1215,M-300,2026-01-03 05:45:00,89.6,5.52,3.22,Running
S-1216,M-400,2026-01-03 06:00:00,30.22,5.18,0.37,Running
S-1217,M-300,2026-01-03 06:15:00,46.15,8.27,0.98,Warning
S-1218,M-500,2026-01-03 06:30:00,55.96,6.21,4.74,Warning
S-1219,M-100,2026-01-03 06:45:00,56.13,6.41,4.9,Running
S-1220,M-300,2026-01-03 07:00:00,76.43,5.41,2.16,Warning
S-1221,M-300,2026-01-03 07:15:00,79.23,6.89,3.74,Running
S-1222,M-400,2026-01-03 07:30:00,55.09,9.77,3.55,Running
S-1223,M-500,2026-01-03 07:45:00,40.72,4.67,2.56,Idle
S-1224,M-400,2026-01-03 08:00:00,51.4,3.49,2.18,Warning
S-1225,M-400,2026-01-03 08:15:00,33.57,6.04,0.81,Running
S-1226,M-100,2026-01-03 08:30:00,77.79,8.34,2.32,Warning
S-1227,M-500,2026-01-03 08:45:00,55.36,8.26,3.87,Idle
S-1228,M-500,2026-01-03 09:00:00,91.22,7.39,3.13,Maintenance
S-1229,M-300,2026-01-03 09:15:00,80.88,7.11,2.03,Running
S-1230,M-400,2026-01-03 09:30:00,69.95,5.35,4.73,Warning
S-1231,M-300,2026-01-03 09:45:00,29.76,7.54,4.71,Running
S-1232,M-500,2026-01-03 10:00:00,88.63,7.27,3.24,Running
S-1233,M-200,2026-01-03 10:15:00,80.55,7.57,1.26,Warning
S-1234,M-200,2026-01-03 10:30:00,72.94,4.42,1.43,Running
S-1235,M-400,2026-01-03 10:45:00,33.37,3.03,3.93,Idle
S-1236,M-100,2026-01-03 11:00:00,21.78,4.11,2.71,Idle
S-1237,M-400,2026-01-03 11:15:00,30.25,2.21,2.06,Warning
S-1238,M-200,2026-01-03 11:30:00,60.98,6.94,2.91,Warning
S-1239,M-500,2026-01-03 11:45:00,67.43,4.54,2.74,Warning
S-1240,M-500,2026-01-03 12:00:00,42.38,5.44,3.87,Running
S-1241,M-300,2026-01-03 12:15:00,36.61,6.15,4.47,Running
S-1242,M-500,2026-01-03 12:30:00,69.4,7.11,0.3,Running
S-1243,M-300,2026-01-03 12:45:00,94.5,2.52,2.94,Warning
S-1244,M-300,2026-01-03 13:00:00,45.46,1.48,4.99,Maintenance
S-1245,M-300,2026-01-03 13:15:00,38.41,8.21,4.42,Idle
S-1246,M-200,2026-01-03 13:30:00,83.16,7.83,1.73,Warning
S-1247,M-400,2026-01-03 13:45:00,63.94,4.27,2.9,Idle
S-1248,M-400,2026-01-03 14:00:00,60.78,7.62,1.46,Maintenance
S-1249,M-200,2026-01-03 14:15:00,66.11,5.02,2.56,Idle
S-1250,M-300,2026-01-03 14:30:00,60.79,9.98,0.9,Warning
S-1251,M-100,2026-01-03 14:45:00,68.27,1.74,2.27,Idle
S-1252,M-300,2026-01-03 15:00:00,54.52,3.47,1.07,Idle
S-1253,M-100,2026-01-03 15:15:00,25.32,1.03,1.84,Maintenance
S-1254,M-200,2026-01-03 15:30:00,48.89,5.61,0.99,Idle
S-1255,M-500,2026-01-03 15:45:00,46.93,6.91,2.62,Running
S-1256,M-400,2026-01-03 16:00:00,89.62,4.38,3.43,Running
S-1257,M-200,2026-01-03 16:15:00,66.38,7.6,0.21,Maintenance
S-1258,M-500,2026-01-03 16:30:00,57.92,7.01,2.25,Idle
S-1259,M-200,2026-01-03 16:45:00,89.46,1.43,2.81,Idle
S-1260,M-400,2026-01-03 17:00:00,30.83,4.71,2.83,Running
S-1261,M-300,2026-01-03 17:15:00,42.33,4.65,1.63,Idle
S-1262,M-300,2026-01-03 17:30:00,69.11,7.75,0.94,Idle
S-1263,M-400,2026-01-03 17:45:00,63.21,9.21,1.69,Maintenance
S-1264,M-500,2026-01-03 18:00:00,65.49,2.63,2.33,Idle
S-1265,M-400,2026-01-03 18:15:00,54.9,2.88,1.16,Running
S-1266,M-500,2026-01-03 18:30:00,24.64,1.77,1.9,Running
S-1267,M-400,2026-01-03 18:45:00,69.19,1.55,4.76,Warning
S-1268,M-400,2026-01-03 19:00:00,37.15,6.1,3.9,Running
S-1269,M-500,2026-01-03 19:15:00,80.31,3.52,3.72,Running
S-1270,M-200,2026-01-03 19:30:00,23.64,1.51,0.91,Idle
S-1271,M-100,2026-01-03 19:45:00,90.31,6.6,1.51,Warning
S-1272,M-500,2026-01-03 20:00:00,71.15,2.0,4.91,Idle
S-1273,M-100,2026-01-03 20:15:00,52.08,9.64,2.31,Maintenance
S-1274,M-500,2026-01-03 20:30:00,47.57,3.36,0.91,Maintenance
S-1275,M-500,2026-01-03 20:45:00,81.67,6.36,3.41,Idle
S-1276,M-100,2026-01-03 21:00:00,39.24,5.03,3.78,Idle
S-1277,M-200,2026-01-03 21:15:00,39.16,2.96,0.42,Maintenance
S-1278,M-100,2026-01-03 21:30:00,34.99,8.17,3.66,Maintenance
S-1279,M-100,2026-01-03 21:45:00,35.93,8.68,2.27,Maintenance
S-1280,M-400,2026-01-03 22:00:00,65.54,9.89,4.77,Warning
S-1281,M-100,2026-01-03 22:15:00,86.36,4.6,4.85,Maintenance
S-1282,M-200,2026-01-03 22:30:00,64.93,1.94,0.32,Warning
S-1283,M-500,2026-01-03 22:45:00,23.03,2.22,4.48,Running
S-1284,M-200,2026-01-03 23:00:00,64.18,1.43,3.04,Running
S-1285,M-300,2026-01-03 23:15:00,22.08,1.63,2.23,Running
S-1286,M-500,2026-01-03 23:30:00,77.02,2.58,4.81,Maintenance
S-1287,M-400,2026-01-03 23:45:00,25.19,8.28,4.28,Running
S-1288,M-500,2026-01-04 00:00:00,86.76,9.27,3.49,Maintenance
S-1289,M-100,2026-01-04 00:15:00,59.13,2.57,3.93,Maintenance
S-1290,M-300,2026-01-04 00:30:00,84.42,9.02,0.97,Running
S-1291,M-500,2026-01-04 00:45:00,45.15,7.89,1.6,Running
S-1292,M-300,2026-01-04 01:00:00,69.75,5.27,2.38,Running
S-1293,M-400,2026-01-04 01:15:00,84.4,8.36,0.3,Warning
S-1294,M-300,2026-01-04 01:30:00,27.27,7.33,1.0,Warning
S-1295,M-500,2026-01-04 01:45:00,43.68,4.81,2.01,Running
S-1296,M-100,2026-01-04 02:00:00,25.86,9.42,2.16,Maintenance
S-1297,M-200,2026-01-04 02:15:00,46.92,2.37,3.34,Maintenance
S-1298,M-500,2026-01-04 02:30:00,85.46,6.91,1.93,Maintenance
S-1299,M-500,2026-01-04 02:45:00,89.93,2.63,2.91,Maintenance
S-1300,M-400,2026-01-04 03:00:00,81.28,3.95,1.68,Idle
S-1301,M-300,2026-01-04 03:15:00,25.8,5.04,3.24,Running
S-1302,M-100,2026-01-04 03:30:00,51.8,8.04,2.43,Idle
S-1303,M-400,2026-01-04 03:45:00,48.73,4.18,2.6,Running
S-1304,M-500,2026-01-04 04:00:00,55.58,9.28,3.47,Warning
S-1305,M-500,2026-01-04 04:15:00,29.01,4.46,2.64,Idle
S-1306,M-500,2026-01-04 04:30:00,21.06,7.95,0.85,Maintenance
S-1307,M-500,2026-01-04 04:45:00,70.12,5.84,4.37,Maintenance
S-1308,M-200,2026-01-04 05:00:00,77.09,8.95,0.91,Running
S-1309,M-500,2026-01-04 05:15:00,33.15,1.73,1.69,Running
S-1310,M-500,2026-01-04 05:30:00,45.69,2.45,0.71,Maintenance
S-1311,M-500,2026-01-04 05:45:00,87.68,9.12,3.8,Maintenance
S-1312,M-400,2026-01-04 06:00:00,63.58,9.74,0.73,Running
S-1313,M-100,2026-01-04 06:15:00,89.95,1.98,4.89,Running
S-1314,M-500,2026-01-04 06:30:00,36.5,4.77,1.13,Maintenance
S-1315,M-200,2026-01-04 06:45:00,94.65,9.51,3.41,Running
S-1316,M-300,2026-01-04 07:00:00,79.54,1.04,1.16,Maintenance
S-1317,M-300,2026-01-04 07:15:00,56.9,7.93,3.49,Running
S-1318,M-100,2026-01-04 07:30:00,47.93,2.28,4.17,Warning
S-1319,M-300,2026-01-04 07:45:00,56.86,6.15,2.73,Running
S-1320,M-400,2026-01-04 08:00:00,75.71,3.64,3.53,Warning
S-1321,M-500,2026-01-04 08:15:00,88.31,7.01,3.43,Idle
S-1322,M-500,2026-01-04 08:30:00,58.67,8.65,4.15,Warning
S-1323,M-100,2026-01-04 08:45:00,44.67,4.7,3.25,Maintenance
S-1324,M-400,2026-01-04 09:00:00,66.04,2.44,0.92,Idle
S-1325,M-300,2026-01-04 09:15:00,24.89,8.22,4.37,Running
S-1326,M-500,2026-01-04 09:30:00,35.93,7.09,4.77,Warning
S-1327,M-200,2026-01-04 09:45:00,59.56,6.43,1.54,Warning
S-1328,M-300,2026-01-04 10:00:00,83.17,6.8,4.14,Running
S-1329,M-500,2026-01-04 10:15:00,24.41,7.91,3.24,Maintenance
S-1330,M-300,2026-01-04 10:30:00,67.71,8.55,2.72,Running
S-1331,M-200,2026-01-04 10:45:00,93.94,6.24,0.5,Idle
S-1332,M-500,2026-01-04 11:00:00,85.79,7.09,0.58,Warning
S-1333,M-400,2026-01-04 11:15:00,72.75,8.35,2.19,Idle
S-1334,M-400,2026-01-04 11:30:00,45.92,4.74,2.49,Idle
S-1335,M-200,2026-01-04 11:45:00,53.86,8.31,4.85,Warning
S-1336,M-400,2026-01-04 12:00:00,54.78,9.65,3.82,Running
S-1337,M-500,2026-01-04 12:15:00,24.13,6.88,3.54,Warning
S-1338,M-400,2026-01-04 12:30:00,34.45,1.06,4.13,Maintenance
S-1339,M-500,2026-01-04 12:45:00,60.03,9.79,3.8,Maintenance
S-1340,M-100,2026-01-04 13:00:00,43.81,4.4,2.65,Warning
S-1341,M-100,2026-01-04 13:15:00,94.53,1.7,0.73,Maintenance
S-1342,M-200,2026-01-04 13:30:00,39.53,8.63,0.61,Warning
S-1343,M-100,2026-01-04 13:45:00,33.88,5.71,0.59,Maintenance
S-1344,M-100,2026-01-04 14:00:00,56.79,4.44,1.81,Running
S-1345,M-100,2026-01-04 14:15:00,79.88,5.61,1.63,Idle
S-1346,M-200,2026-01-04 14:30:00,63.69,7.25,4.47,Maintenance
S-1347,M-500,2026-01-04 14:45:00,83.95,9.49,3.92,Maintenance
S-1348,M-100,2026-01-04 15:00:00,77.71,5.66,0.4,Running
S-1349,M-500,2026-01-04 15:15:00,89.48,3.75,1.07,Maintenance
S-1350,M-500,2026-01-04 15:30:00,42.9,9.4,0.2,Warning
S-1351,M-100,2026-01-04 15:45:00,51.35,4.38,1.62,Maintenance
S-1352,M-100,2026-01-04 16:00:00,72.61,5.83,4.32,Running
S-1353,M-100,2026-01-04 16:15:00,84.81,1.3,4.33,Warning
S-1354,M-100,2026-01-04 16:30:00,40.82,1.78,4.21,Idle
S-1355,M-100,2026-01-04 16:45:00,71.51,9.09,1.34,Idle
S-1356,M-100,2026-01-04 17:00:00,54.33,7.63,2.94,Maintenance
S-1357,M-300,2026-01-04 17:15:00,80.71,7.91,2.14,Idle
S-1358,M-100,2026-01-04 17:30:00,72.84,8.7,3.18,Warning
S-1359,M-500,2026-01-04 17:45:00,72.16,3.9,2.58,Warning
S-1360,M-500,2026-01-04 18:00:00,51.44,8.11,3.44,Maintenance
S-1361,M-300,2026-01-04 18:15:00,34.96,7.15,2.42,Maintenance
S-1362,M-400,2026-01-04 18:30:00,45.15,5.79,0.44,Running
S-1363,M-500,2026-01-04 18:45:00,76.67,9.62,1.64,Warning
